# ,,,,,,,,,,
# 05/02/2022 19:30:57,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P1 - recLength [m],P2 - recHeight [m],P3 - AOA [degree],P6 - V_in [m s^-1],P4 - Mesh Nodes,P5 - Mesh Elements,P11 - dragf-op [N],P12 - liftf-op [N],P13 - liftc-op,P14 - dragc-op
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P1,P2,P3,P6,P4,P5,P11,P12,P13,P14
DP 0,20,10,0,60,161678,320221,24.168714,959.91971,1567.2159,39.459125
DP 1,20,10,2,60,104905,207004,26.879485,1424.6004,2325.8782,43.884873
DP 2,20,10,4,60,104140,205474,32.370687,1892.268,3089.4171,52.850101
DP 3,20,10,6,60,103881,204956,40.06679,2342.5482,3824.5685,65.415167
DP 4,20,10,8,60,104674,206542,52.627217,2716.3438,4434.847,85.921986
DP 5,20,10,10,60,104591,206376,76.767171,2908.2216,4748.1169,125.33416
DP 6,20,10,12,60,104772,206738,104.18501,3093.5748,5050.7343,170.09798
DP 7,20,10,14,60,104743,206680,175.80004,2911.6839,4753.7696,287.02047
DP 8,20,10,16,60,104163,205520,294.15219,2441.8239,3986.6513,480.24847
DP 9,20,10,18,60,104096,205386,627.27056,1940.3318,3167.8886,1024.1152
DP 10,20,10,20,60,103841,204876,1472.1764,4108.9436,6708.4794,2403.5532
DP 11,20,10,22,60,103909,205012,973.5275,4038.8389,6594.0227,1589.4327
DP 12,20,10,24,60,104407,206008,1762.4891,3148.5563,5140.5001,2877.5333
DP 13,20,10,26,60,104462,206118,2487.0799,3335.1664,5445.1696,4060.5386
DP 14,20,10,28,60,104287,205768,2421.9269,5890.4523,9617.065,3954.1664
DP 15,20,10,30,60,104135,205464,3094.7295,6852.0758,11187.062,5052.6195
